IP|PUERTO|BD|USUARIO|USOS
10.50.71.69|63578|buro|sysburotienda|1
10.50.71.69|63592|buro|sysburotienda|1
10.50.71.69|63594|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|63606|infocrediticiacte|sysinfocrediticia|1
10.199.3.82|5935|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|63620|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|63628|buro|sysburotienda|1
10.50.71.69|63630|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|63636|buro|sysburotienda|1
10.50.71.69|63640|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|63646|infocrediticiacte|sysinfocrediticia|1
10.50.70.28|42642|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8034|buro|sysburotienda|1
10.50.71.69|8042|buro|sysburotienda|1
10.50.71.69|8058|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|8072|buro|sysburotienda|1
10.28.231.46|11918|postgres|sysnagios|1
10.50.71.69|62176|buro|sysburotienda|1
10.50.71.69|62180|buro|sysburotienda|1
10.50.71.69|62184|buro|sysburotienda|1
10.50.71.69|62196|buro|sysburotienda|1
10.50.71.69|62198|buro|sysburotienda|1
10.50.71.69|62210|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|62222|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|32714|buro|sysburotienda|1
10.50.71.69|62224|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|62234|buro|sysburotienda|1
10.50.71.69|62238|buro|sysburotienda|1
10.50.71.69|28204|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|60388|buro|sysburotienda|1
10.50.71.69|28206|buro|sysburotienda|1
10.50.71.69|28208|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28210|buro|sysburotienda|1
10.50.71.69|28224|buro|sysburotienda|1
10.50.71.69|28234|buro|sysburotienda|1
10.50.71.69|28250|infocrediticiacte|sysinfocrediticia|2
10.50.71.69|36528|buro|sysburotienda|1
10.50.71.69|36546|infocrediticiacte|sysinfocrediticia|1
10.50.70.104|43024|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|9542|buro|sysburotienda|1
10.50.70.33|36618|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6102|buro|sysburotienda|1
10.50.71.69|6118|buro|sysburotienda|1
10.50.71.69|6134|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6148|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|62263|buro|sysburotienda|1
10.30.241.169|5620|buro|sysburotienda|1
10.50.71.69|4156|buro|sysburotienda|1
10.50.71.69|4162|buro|sysburotienda|1
10.50.71.69|4174|buro|sysburotienda|1
10.50.71.69|4182|buro|sysburotienda|1
10.50.71.69|4184|buro|sysburotienda|1
10.50.71.69|4216|buro|sysburotienda|1
10.50.71.69|4206|buro|sysburotienda|1
10.50.71.69|4224|buro|sysburotienda|1
10.50.71.69|4228|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|4230|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|4234|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|4236|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|4248|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|4260|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|21239|buro|sysburotienda|1
10.50.71.69|4272|buro|sysburotienda|1
10.50.71.69|4282|buro|sysburotienda|1
10.50.71.69|4298|buro|sysburotienda|1
10.50.71.69|4310|buro|sysburotienda|1
10.50.71.69|4324|buro|sysburotienda|1
10.50.71.69|4330|buro|sysburotienda|1
10.50.71.69|4342|buro|sysburotienda|1
10.50.71.69|4344|buro|sysburotienda|1
10.50.71.69|4360|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|4368|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|4384|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|4394|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|4398|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|29450|buro|sysburotienda|1
10.50.71.69|29452|buro|sysburotienda|1
10.50.71.69|29466|buro|sysburotienda|1
10.50.71.69|29494|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|29506|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|29518|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|29534|buro|sysburotienda|1
10.50.71.69|29542|buro|sysburotienda|1
10.50.71.69|29550|buro|sysburotienda|1
10.50.71.69|29552|buro|sysburotienda|1
10.50.71.69|29562|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|29570|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|29578|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|12654|buro|sysburotienda|1
10.50.71.69|12670|buro|sysburotienda|1
10.50.71.69|15810|buro|sysburotienda|1
10.50.71.69|15826|buro|sysburotienda|1
10.50.71.69|15830|buro|sysburotienda|1
10.50.71.69|63750|buro|sysburotienda|1
10.50.71.69|63762|infocrediticiacte|sysinfocrediticia|1
10.30.241.175|31979|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|63776|buro|sysburotienda|1
10.50.71.69|63798|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|63814|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|10590|buro|sysburotienda|1
10.50.70.33|52114|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|24366|buro|sysburotienda|1
10.50.71.69|24372|infocrediticiacte|sysinfocrediticia|1
10.30.241.169|14949|buro|sysburotienda|1
10.50.71.69|24384|buro|sysburotienda|1
10.50.71.69|24394|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28580|buro|sysburotienda|1
10.50.71.69|28592|buro|sysburotienda|1
10.50.71.69|28602|buro|sysburotienda|1
10.50.71.69|28614|buro|sysburotienda|1
10.50.71.69|28622|buro|sysburotienda|1
10.50.71.69|28624|buro|sysburotienda|1
10.50.71.69|28630|buro|sysburotienda|1
10.50.71.69|28638|buro|sysburotienda|1
10.50.71.69|28650|buro|sysburotienda|1
10.50.71.69|28662|buro|sysburotienda|1
10.50.71.69|28668|buro|sysburotienda|1
10.50.71.69|28678|buro|sysburotienda|1
10.199.3.85|50305|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28688|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28690|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28706|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28718|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28728|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28742|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|63504|buro|sysburotienda|1
10.50.71.69|28752|buro|sysburotienda|1
10.50.71.69|28760|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28766|buro|sysburotienda|1
10.50.71.69|28768|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28780|buro|sysburotienda|1
10.50.71.69|28794|buro|sysburotienda|1
10.50.71.69|28810|buro|sysburotienda|1
10.50.71.69|28818|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28834|buro|sysburotienda|1
10.50.71.69|28846|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28854|buro|sysburotienda|1
10.50.71.69|28862|infocrediticiacte|sysinfocrediticia|2
10.50.71.69|28870|buro|sysburotienda|1
10.50.71.69|28886|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28902|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28790|infocrediticiacte|sysinfocrediticia|1
